year,customer_name_norm,gross_invoices,positive_adjustments,credits_abs,net_invoiced,payments,year_net_delta,running_balance
2012,AVI KLAYMAN,180.0,0.0,0.0,180.0,180.0,0.0,0.0
2013,AVI KLAYMAN,150.0,0.0,0.0,150.0,120.0,30.0,30.0
2014,AVI KLAYMAN,180.0,0.0,0.0,180.0,180.0,0.0,30.0
2015,AVI KLAYMAN,180.0,0.0,0.0,180.0,210.0,-30.0,0.0
2020,BC CHILDREN'S HOSPITAL AND BC WOMEN'S HOSPITAL + HEALTH CENTRE,259.88,0.0,0.0,259.88,259.88,0.0,0.0
2020,BC CHILDREN’S HOSPITAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,BC COLLEGE OF FAMILY PHYSICIANS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,BC COLLEGES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,BC COLLEGES,196.88,0.0,0.0,196.88,7.88,189.0,189.0
2004,BC COMPUSOLVE INC.,400.0,0.0,0.0,400.0,428.0,-28.0,-28.0
2017,BC EARLY HEARING PROGRAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,BC HYDRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,BC HYDRO,889166.19,0.0,21815.56,867350.63,813238.15,54112.48,54112.48
2026,BC HYDRO,120913.4,0.0,0.0,120913.4,114365.44,6547.96,60660.44
2015,BC MOBILE MEDICAL UNIT,10171.88,0.0,0.0,10171.88,10171.88,0.0,0.0
2018,BC MOBILE MEDICAL UNIT,162.75,0.0,0.0,162.75,162.75,0.0,0.0
2020,BC NEUROIMMUNOLOGY,519.75,0.0,0.0,519.75,519.75,0.0,0.0
2019,BC RENT BANK,1120.0,0.0,0.0,1120.0,1120.0,0.0,0.0
2020,BC RENT BANK,3150.0,0.0,0.0,3150.0,3150.0,0.0,0.0
2016,BC SECONDARY SCHOOL FOOTBALL ASSO,406.35,0.0,0.0,406.35,1303.72,-897.37,-897.37
2022,BC SECONDARY SCHOOL FOOTBALL ASSO,173.25,0.0,0.0,173.25,173.25,0.0,-897.37
2016,BC SECONDARY SCHOOLS FOOTBALL,253.97,0.0,0.0,253.97,0.0,253.97,253.97
2016,BC SECONDARY SCHOOLS FOOTBALL ASSOCIATION,1574.61,0.0,0.0,1574.61,931.22,643.39,643.39
2017,BC WOMENS HOSPITAL,18586.07,0.0,0.0,18586.07,17202.69,1383.38,1383.38
2018,BC WOMENS HOSPITAL,1790.25,0.0,0.0,1790.25,3661.88,-1871.63,-488.25
2021,BC WOMENS HOSPITAL,693.0,0.0,0.0,693.0,216.56,476.44,-11.81
2022,BC WOMENS HOSPITAL,448.88,0.0,0.0,448.88,925.32,-476.44,-488.25
2023,BC WOMENS HOSPITAL,365.09,0.0,0.0,365.09,0.0,365.09,-123.16
2024,BC WOMENS HOSPITAL,0.0,0.0,0.0,0.0,389.43,-389.43,-512.59
2025,BC WOMENS HOSPITAL,24.34,0.0,0.0,24.34,0.0,24.34,-488.25
2021,BCCDC,2685.38,0.0,0.0,2685.38,2685.38,0.0,0.0
2019,BCCDC HARM REDUCTION,488.25,0.0,0.0,488.25,488.25,0.0,0.0
2020,BCCDC HARM REDUCTION,15823.69,0.0,0.0,15823.69,15132.0,691.69,691.69
2021,BCCDC HARM REDUCTION,2465.46,0.0,0.0,2465.46,3157.15,-691.69,0.0
2022,BCCDC HARM REDUCTION,3481.98,0.0,0.0,3481.98,3379.67,102.31,102.31
2022,BCCDC HARM REDUCTION SERVICES,4852.72,0.0,0.0,4852.72,4623.4,229.32,229.32
